,red_id,sede_id,tipo_red,url
178,179,EITAL,twitter,https://twitter.com/arginitalia?lang=es
179,180,EITAL,instagram,https://www.instagram.com/arginitalia/?hl=es
180,181,EJAMA,facebook,https://www.facebook.com/ArgentinaEnJamaica/
181,182,EJAMA,twitter,https://twitter.com/ARGenJamaica
182,183,EJAPO,instagram,https://www.instagram.com/embajadaargentinaenjapon/
183,184,EJAPO,facebook,https://www.facebook.com/ArgJapon/?ref=bookmarks
184,185,EJAPO,twitter,https://www.twitter.com/ARGenJapon_
185,186,EKENY,facebook,https://www.facebook.com/ArgentinaEnKenia
186,187,EKENY,instagram,https://www.instagram.com/argenkenya/
187,188,EKENY,twitter,https://twitter.com/ArgenKenya
188,189,EKUWA,facebook,https://www.facebook.com/ArgentinaenKuwait
189,190,ELBNO,facebook,https://www.facebook.com/ArgentinaEnLibano
190,191,ELBNO,instagram,https://www.instagram.com/argentinaenlibano/
191,192,EMARR,instagram,https://www.instagram.com/argenmarruecos/
192,193,EMARR,twitter,https://twitter.com/ArgMarruecos
193,194,EMEXI,twitter,https://twitter.com/@ARGenMexico
194,195,EMEXI,facebook,https://www.facebook.com/ARGenMexico/
195,196,EMEXI,instagram,https://www.instagram.com/embargenmexico/
196,197,EMEXI,youtube,https://www.youtube.com/user/EmbaArgenMX
197,198,EMOZA,facebook,https://www.facebook.com/ArgentinaEnMozambique/
198,199,EMSIA,facebook,https://www.facebook.com/ArgentinaEnMalasia
199,200,ENAUN,twitter,https://twitter.com/ArgentinaUN
200,201,ENIGE,facebook,https://www.facebook.com/ArgentinaEnNigeria/
201,202,ENIGE,instagram,https://www.instagram.com/embargennigeria/?igshid=f0laoeu8lhv8
202,203,ENORU,facebook,https://www.facebook.com/ArgentinaEnNoruega/
203,204,ENORU,instagram,https://www.instagram.com/arginnorway/
204,205,ENORU,twitter,https://x.com/arginnorway?lang=en
205,206,ENORU,linkedin,https://www.linkedin.com/company/embajada-de-la-rep%C3%BAblica-argentina-ante-el-reino-de-noruega-argentine-embassy-to-norway
206,207,ENZEL,facebook,https://www.facebook.com/ArgentinaenNuevaZelandia/
207,208,EOIRS,facebook,https://www.facebook.com/ArgentinaEnGinebra
208,209,EOIRS,instagram,https://www.instagram.com/mision.argentina/
209,210,EOIRS,twitter,https://twitter.com/ArgentinaONUOMC
210,211,EOIRS,youtube,https://www.youtube.com/channel/UCSOsChik8j7nFJZnPq6K7Ag
211,212,EPAKI,instagram,https://www.instagram.com/argentinaenpakistan/
212,213,EPARA,twitter,https://twitter.com/argenparaguay_
213,214,EPARA,facebook,https://www.facebook.com/embajada.paraguay
214,215,EPBAJ,facebook,https://www.facebook.com/ArgEnPaisesBajos/
215,216,EPBAJ,twitter,https://twitter.com/ArgentinaEnPB
216,217,EPBAJ,instagram,https://www.instagram.com/argenpaisesbajos/
217,218,EPERU,twitter,https://twitter.com/Emb_Arg_Peru
218,219,EPERU,facebook,https://www.facebook.com/ArgentinaEnPeru
219,220,EPOLO,facebook,https://www.facebook.com/profile.php?id=61560600343776
220,221,ERICA,facebook,https://www.facebook.com/argentinaencostarica/
221,222,ERICA,instagram,https://www.instagram.com/argencostarica/
222,223,ERUMA,facebook,https://www.facebook.com/ArgentinaEnRumania
223,224,ERUNI,twitter,https://twitter.com/ARGinUK
224,225,ERUNI,facebook,https://www.facebook.com/ARGinUK/
225,226,ERUNI,instagram,https://www.instagram.com/arginuk/
226,227,ERUNI,youtube,https://www.youtube.com/channel/UCzaGU10f-77SR56kini9-1g/videos?view_as=subscriber
227,228,ESAFR,twitter,https://twitter.com/EmbArgentina
228,229,ESAFR,instagram,https://www.instagram.com/argentinaensudafrica
229,230,ESALV,twitter,https://twitter.com/ARGenElSalvador
230,231,ESALV,facebook,https://www.facebook.com/ArgentinaEnElSalvador/
231,232,ESALV,instagram,https://www.instagram.com/embargenelsalvador/
232,233,ESING,twitter,https://twitter.com/ARGinSingapore
233,234,ESING,instagram,https://instagram.com/argentine_embassy_singapore?igshid=YmMyMTA2M2Y=
234,235,ESSED,twitter,https://twitter.com/ArgSantaSede
235,236,ESSED,youtube,https://www.youtube.com/c/EmbajadaArgentinaantelaSantaSede
236,237,ESSED,facebook,https://www.facebook.com/ArgEnSantaSede
237,238,ESSED,instagram,https://www.instagram.com/argensantasede/
238,239,ESUEC,linkedin,https://www.linkedin.com/company/argentinainsweden/
239,240,ESUEC,facebook,https://www.facebook.com/arginsweden/
240,241,ESUEC,instagram,https://www.instagram.com/arginsweden/
241,242,ETAIL,facebook,https://www.facebook.com/Embajada.Argentina.Tailandia/
242,243,ETRIA,facebook,https://www.facebook.com/ArgentinaEnAustria/
243,244,ETRIA,twitter,https://twitter.com/ARGenViena
244,245,ETRIA,instagram,https://www.instagram.com/argenviena/
